Cruise,Ship,Date,Latitude,Longitude,Abundance per m2,Species
CALCOFI 1904,REUBEN LASKER,4/16/19,34.72,-121.552,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1904,REUBEN LASKER,4/17/19,35.0217,-120.915,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1904,REUBEN LASKER,4/17/19,34.89,-121.197,0,Thysanoessa spinifera - All phases and stages
CALCOFI 1004,FROSTI,4/16/10,36,-125.8,15.875,Euphausia pacifica - All phases and stages
CALCOFI 1004,MILLER FREEMAN,4/27/10,32,-117.3,116.025,Euphausia pacifica - All phases and stages
CALCOFI 1004,MILLER FREEMAN,4/27/10,32,-117.4,597.113,Euphausia pacifica - All phases and stages
CALCOFI 1004,MILLER FREEMAN,4/27/10,32,-118.9,869.61,Euphausia pacifica - All phases and stages
CALCOFI 1004,MILLER FREEMAN,4/28/10,32,-119.233,9.63,Euphausia pacifica - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/1/10,32,-118.933,936.947,Euphausia pacifica - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/2/10,33,-118.633,234.192,Euphausia pacifica - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/2/10,33,-118.233,2309.499,Euphausia pacifica - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/2/10,33,-118.383,1923.39,Euphausia pacifica - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/3/10,33,-118.967,1255.848,Euphausia pacifica - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/4/10,32,-119.95,62.196,Euphausia pacifica - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/13/10,33,-120.133,1685.658,Euphausia pacifica - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/14/10,33,-122.533,40.42,Euphausia pacifica - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/14/10,33,-120.4,3527.067,Euphausia pacifica - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/16/10,34,-121.55,5619.39,Euphausia pacifica - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/16/10,34,-120.783,606.518,Euphausia pacifica - All phases and stages
CALCOFI 1004,MILLER FREEMAN,5/16/10,34,-121.15,1073.65,Euphausia pacifica - All phases and stages
CALCOFI 1104,BELL M. SHIMADA,4/10/11,32.85,-117.533,181.684,Euphausia pacifica - All phases and stages
CALCOFI 1104,BELL M. SHIMADA,4/15/11,32.4167,-119.967,759.345,Euphausia pacifica - All phases and stages
CALCOFI 1104,BELL M. SHIMADA,4/16/11,34.65,-123.367,522.003,Euphausia pacifica - All phases and stages
CALCOFI 1104,BELL M. SHIMADA,4/16/11,33.25,-118.25,316.265,Euphausia pacifica - All phases and stages
CALCOFI 1104,BELL M. SHIMADA,4/17/11,33.4167,-117.9,222.774,Euphausia pacifica - All phases and stages
CALCOFI 1104,BELL M. SHIMADA,4/18/11,33.65,-118.967,135.256,Euphausia pacifica - All phases and stages
CALCOFI 1104,BELL M. SHIMADA,4/19/11,32.65,-121.033,493.116,Euphausia pacifica - All phases and stages
